Game,Goals,TOI,Shots,EV Goals,EV TOI,EV Shots,PP Goals,PP TOI,PP Shots
G201601,0,1348,5,0,1061,4,0,271,1
G201602,0,1147,3,0,643,1,0,486,2
G201603,1,1091,5,0,732,3,1,359,2
G201604,1,1002,2,1,890,2,0,107,0
G201605,1,1184,6,1,975,6,0,118,0
G201606,1,1120,4,1,836,2,0,283,2
G201607,0,958,4,0,830,4,0,128,0
G201608,0,905,3,0,766,2,0,139,1
G201609,0,1111,3,0,907,2,0,203,1
G201610,2,1184,8,1,867,3,1,317,5
G201611,1,1168,6,1,708,3,0,445,3
G201612,0,1272,4,0,915,2,0,268,2
G201613,0,1049,1,0,1030,1,0,0,0
G201614,0,1230,5,0,972,4,0,231,1
G201615,0,852,4,0,680,3,0,172,1
G201616,1,1118,3,1,756,1,0,362,2
G201617,0,1140,4,0,925,4,0,177,0
G201618,1,1064,5,0,949,4,1,73,1
G201619,3,929,5,2,720,3,1,209,2
G201620,0,924,3,0,644,1,0,280,2
G201621,0,1342,3,0,791,1,0,425,2
G201622,0,1487,4,0,735,2,0,569,2
G201623,0,1344,4,0,894,4,0,383,0
G201624,0,1317,1,0,1095,1,0,178,0
G201625,0,1053,3,0,927,3,0,126,0
G201626,0,1005,6,0,727,5,0,269,1
G201627,1,1025,5,0,812,4,1,213,1
G201628,0,961,2,0,781,2,0,180,0
G201629,1,1181,6,0,992,4,1,189,2
G201630,0,1199,3,0,897,3,0,178,0
G201631,0,1197,2,0,1073,1,0,120,1
G201632,1,1000,3,1,808,2,0,192,1
G201633,1,1200,9,1,749,6,0,318,3
G201634,0,1151,4,0,793,3,0,358,1
G201635,1,977,2,1,919,2,0,58,0
G201636,0,1049,2,0,849,2,0,180,0
G201637,1,979,5,1,875,5,0,104,0
G201638,0,990,1,0,732,0,0,258,1
G201639,0,962,3,0,796,2,0,166,1
G201640,1,920,5,0,814,3,1,105,2
G201641,2,1012,7,1,750,4,1,224,3
G201642,0,969,2,0,969,2,0,0,0
G201643,0,1076,2,0,897,1,0,166,1
G201644,0,1251,3,0,910,3,0,338,0
G201645,0,1092,2,0,920,1,0,172,1
G201646,1,946,3,0,782,1,1,160,2
G201647,0,973,2,0,802,1,0,164,1
G201648,0,1261,7,0,765,2,0,487,5
G201649,1,1050,4,1,816,3,0,230,1
G201650,1,1183,4,1,1036,4,0,80,0
G201651,1,1169,5,0,936,4,1,233,1
G201652,0,1082,5,0,839,4,0,243,1
G201653,0,1104,4,0,921,3,0,183,1
G201654,1,1038,4,0,778,2,1,249,2
G201655,0,834,0,0,779,0,0,44,0
G201656,0,894,2,0,686,1,0,188,1
G201657,0,1271,4,0,838,1,0,414,3
G201658,1,1082,4,0,813,2,1,188,2
G201659,0,1038,0,0,935,0,0,84,0
G201660,0,1111,3,0,871,2,0,240,1
G201661,0,1236,0,0,1057,0,0,87,0
G201662,0,1070,4,0,923,2,0,127,2
G201663,0,1233,3,0,788,1,0,378,2
G201664,0,1145,1,0,805,1,0,327,0
G201665,0,1250,9,0,900,5,0,272,4
G201666,0,1286,2,0,698,1,0,495,1
G201667,0,1128,6,0,829,6,0,218,0
G201668,0,1143,4,0,796,1,0,340,3
G201669,1,1091,3,1,819,3,0,272,0
G201670,0,1110,3,0,1048,3,0,62,0
G201671,0,1267,7,0,1060,5,0,191,2
G201672,1,1090,11,0,904,8,1,186,3
G201673,0,1212,8,0,940,8,0,272,0
G201674,1,1049,4,0,729,1,1,320,3
G201675,3,975,6,0,811,3,3,164,3
G201676,0,1083,1,0,818,0,0,262,1
G201677,0,1048,3,0,1007,3,0,41,0
G201678,0,927,2,0,820,1,0,107,1
G201679,0,1137,3,0,986,2,0,146,1
G201680,0,1162,2,0,1023,1,0,139,1
G201681,0,1072,3,0,763,3,0,309,0
G201682,0,1076,5,0,908,5,0,164,0
G201701,3,1151,6,3,1046,5,0,97,1
G201702,4,1064,8,3,807,5,1,247,3
G201703,0,1029,4,0,759,0,0,270,4
G201704,1,1176,7,1,735,4,0,352,3
G201705,1,1140,4,0,762,3,1,378,1
G201706,0,865,6,0,707,4,0,158,2
G201707,0,1244,4,0,843,3,0,297,1
G201708,1,1185,7,0,784,3,1,301,4
G201709,0,1050,4,0,792,4,0,99,0
G201710,0,1292,3,0,1032,1,0,260,2
G201711,0,982,5,0,972,5,0,0,0
G201712,0,1121,3,0,838,1,0,234,2
G201713,0,1208,2,0,803,2,0,365,0
G201714,1,1041,4,1,835,3,0,206,1
G201715,1,1249,6,0,828,3,1,421,3
G201716,1,1174,5,1,1044,5,0,87,0
G201717,0,1298,2,0,912,1,0,386,1
G201718,0,1428,0,0,1223,0,0,205,0
G201719,0,1231,8,0,1023,6,0,205,2
G201720,0,1009,4,0,600,0,0,400,4
G201721,0,1006,4,0,655,3,0,349,1
G201722,0,1170,5,0,722,2,0,330,3
G201723,1,1025,3,1,977,3,0,48,0
G201724,1,1099,9,1,775,5,0,324,4
G201725,3,1124,4,2,908,2,1,194,2
G201726,0,1307,4,0,1015,3,0,231,1
G201727,1,1047,4,0,949,3,1,86,1
G201728,1,1349,4,1,853,2,0,450,2
G201729,1,1015,6,1,825,4,0,190,2
G201730,0,1231,5,0,884,3,0,296,2
G201731,0,1346,6,0,955,4,0,198,2
G201732,0,918,2,0,880,2,0,15,0
G201733,1,1245,4,1,835,3,0,352,1
G201734,1,1369,4,1,1369,4,0,0,0
G201735,0,1191,4,0,832,2,0,350,2
G201736,0,1281,2,0,1073,1,0,208,1
G201737,0,1223,3,0,879,2,0,338,1
G201738,0,1278,4,0,1057,3,0,221,1
G201739,1,1380,4,0,950,2,1,430,2
G201740,0,1200,6,0,988,3,0,175,3
G201741,2,1201,2,2,961,2,0,240,0
G201742,1,1370,2,0,1043,1,1,299,1
G201743,0,1165,2,0,854,2,0,203,0
G201744,0,1360,5,0,933,3,0,271,2
G201745,1,1354,3,1,931,0,0,416,3
G201746,0,1308,2,0,800,0,0,508,2
G201747,0,1266,1,0,821,0,0,310,1
G201748,1,1085,4,0,806,3,1,279,1
G201749,1,1494,8,1,882,4,0,535,4
G201750,0,1420,2,0,1078,2,0,240,0
G201751,2,1191,5,2,870,2,0,321,3
G201752,0,1274,1,0,965,1,0,222,0
G201753,0,1129,8,0,1031,7,0,76,1
G201754,0,1245,0,0,852,0,0,375,0
G201755,1,1243,3,0,957,1,1,162,2
G201756,0,1250,5,0,1022,4,0,202,1
G201757,1,1068,7,1,828,5,0,192,2
G201758,0,1102,0,0,995,0,0,103,0
G201759,1,1074,3,1,984,3,0,61,0
G201760,1,1394,9,1,1047,8,0,216,1
G201761,0,1307,5,0,1012,5,0,266,0
G201762,2,1133,11,1,1093,10,1,40,1
G201763,1,1328,8,0,995,5,1,229,3
G201764,0,1107,1,0,876,1,0,231,0
G201765,1,1171,3,1,1048,3,0,119,0
G201766,0,1478,2,0,1051,2,0,351,0
G201767,0,1465,3,0,1003,3,0,343,0
G201768,0,1014,6,0,1011,6,0,0,0
G201769,2,1387,8,1,1039,3,1,348,5
G201770,0,1124,2,0,1014,2,0,107,0
G201771,0,1326,3,0,783,2,0,540,1
G201772,1,1128,2,1,879,2,0,170,0
G201773,1,1333,6,0,1075,5,1,236,1
G201774,0,1381,4,0,946,2,0,351,2
G201775,0,1178,4,0,961,3,0,162,1
G201776,1,1061,8,0,720,5,1,297,3
G201777,0,1222,5,0,852,4,0,341,1
G201778,0,1276,2,0,1078,1,0,170,1
G201779,0,1367,4,0,863,1,0,455,3
G201780,1,1016,5,0,819,4,1,141,1
G201781,1,1314,4,0,893,2,1,284,2
G201782,2,1260,8,2,1036,6,0,224,2
G201801,1,987,5,0,723,3,1,264,2
G201802,1,1207,3,1,978,2,0,229,1
G201803,2,1079,7,2,714,5,0,359,2
G201804,0,1437,2,0,1065,1,0,372,1
G201805,0,1294,2,0,1059,1,0,235,1
G201806,2,1408,6,0,1016,2,2,392,4
G201807,0,1370,2,0,1095,1,0,256,1
G201808,2,1056,7,1,718,3,1,338,4
G201809,0,1007,3,0,960,3,0,47,0
G201810,0,1185,2,0,1020,1,0,165,1
G201811,2,1115,4,2,1004,4,0,111,0
G201812,0,1468,4,0,1150,3,0,318,1
G201813,1,1192,3,0,1027,2,1,165,1
G201814,1,1472,3,0,832,0,1,640,3
G201815,0,1399,2,0,945,2,0,454,0
G201816,0,1285,2,0,1091,2,0,194,0
G201817,0,1011,2,0,791,1,0,220,1
G201818,0,1461,9,0,1129,3,0,332,6
G201819,1,1435,7,1,1116,4,0,319,3
G201820,2,1313,5,1,1163,4,1,150,1
G201821,0,1341,2,0,1118,2,0,223,0
G201822,1,1320,3,1,1014,2,0,306,1
G201823,1,1270,2,1,1076,2,0,194,0
G201824,1,1160,3,1,1020,1,0,137,2
G201825,1,1289,4,1,980,3,0,309,1
G201826,0,1453,6,0,1045,3,0,408,3
G201827,1,1317,3,1,795,3,0,522,0
G201828,1,1068,4,1,990,4,0,78,0
G201829,1,1207,5,1,878,4,0,329,1
G201830,3,1178,4,3,1053,3,0,125,1
G201831,3,1270,5,2,1178,4,1,92,1
G201832,1,1534,8,1,1090,5,0,444,3
G201833,0,1514,5,0,1032,4,0,482,1
G201834,0,1221,1,0,780,1,0,441,0
G201835,0,1220,6,0,976,3,0,244,3
G201836,0,1268,4,0,875,2,0,393,2
G201837,0,1138,2,0,1138,2,0,0,0
G201838,0,1264,4,0,1144,2,0,120,2
G201839,1,1172,3,1,850,2,0,322,1
G201840,0,1333,6,0,998,1,0,335,5
G201841,0,1257,4,0,877,4,0,380,0
G201842,0,1350,5,0,944,4,0,404,1
G201843,2,1258,5,2,1082,4,0,176,1
G201844,0,1276,2,0,1213,2,0,63,0
G201845,1,1283,3,0,1018,2,1,265,1
G201846,0,1137,4,0,963,3,0,174,1
G201847,0,1188,3,0,963,2,0,225,1
G201848,0,1176,2,0,976,1,0,200,1
G201849,3,1228,5,2,1061,4,1,167,1
G201850,1,1199,3,1,1081,3,0,118,0
G201851,0,1457,3,0,1183,3,0,267,0
G201852,0,1107,3,0,1023,1,0,84,2
G201853,0,1522,7,0,842,3,0,680,4
G201854,0,1141,2,0,1030,2,0,111,0
G201855,1,981,8,0,596,2,1,385,6
G201856,0,1268,2,0,1180,2,0,88,0
G201857,1,1118,4,1,787,3,0,331,1
G201858,1,1348,7,1,998,4,0,350,3
G201859,2,1131,3,0,1028,1,2,103,2
G201860,1,1101,3,0,866,2,1,235,1
G201861,1,1340,8,1,1106,7,0,234,1
G201862,0,1196,3,0,877,3,0,319,0
G201863,0,962,6,0,924,6,0,38,0
G201864,1,1199,5,0,1118,4,1,81,1
G201865,0,1415,6,0,996,2,0,419,4
G201866,1,1151,1,0,897,0,1,254,1
G201867,0,1234,5,0,842,3,0,392,2
G201868,0,1152,1,0,942,1,0,210,0
G201869,0,1141,5,0,972,2,0,169,3
G201870,0,985,5,0,724,2,0,261,3
G201871,2,1557,7,1,1135,4,1,422,3
G201872,0,1106,0,0,1006,0,0,100,0
G201873,0,1654,11,0,962,6,0,692,5
G201874,0,1362,1,0,1010,1,0,352,0
G201875,0,1249,6,0,1032,4,0,217,2
G201876,1,1248,5,1,1037,4,0,211,1
G201877,0,1330,4,0,1210,4,0,120,0
G201878,2,1348,8,1,862,4,1,486,4
G201879,0,1362,6,0,1122,6,0,240,0
G201880,0,1080,5,0,960,5,0,120,0
G201881,0,1362,2,0,1128,2,0,234,0
G201901,1,1430,5,1,1113,5,0,317,0
G201902,0,1208,2,0,1081,2,0,127,0
G201903,0,1373,7,0,730,4,0,643,2
G201904,0,1423,6,0,967,4,0,456,2
G201905,2,1185,2,0,991,0,2,194,2
G201906,1,1031,2,1,794,1,0,231,0
G201907,1,1302,6,1,1127,4,0,175,0
G201908,0,1301,2,0,951,2,0,350,0
G201909,0,1280,8,0,1014,7,0,266,1
G201910,1,1044,5,1,1036,5,0,8,0
G201911,1,1180,5,1,835,2,0,345,3
G201912,2,1359,9,1,1178,6,1,181,3
G201913,0,1250,1,0,1012,1,0,238,0
G201914,2,1553,10,1,801,3,1,752,7
G201915,0,1092,2,0,996,2,0,96,0
G201916,0,1155,4,0,966,3,0,189,1
G201917,2,1213,8,1,864,6,1,349,2
G201918,0,1281,6,0,737,3,0,544,3
G201919,0,1531,7,0,1182,5,0,349,2
G201920,0,1476,2,0,1125,1,0,351,1
G201921,1,1142,6,0,1061,5,1,81,1
G201922,0,1336,3,0,1098,3,0,234,0
